cg00000734,CNBP
cg00001793,ETV6
cg00004979,SH2B3
cg00005040,RSPO3
cg00006032,GPHN
cg00008621,HIF1A
cg00010242,TSHR
cg00011346,ERBB4
cg00012036,H3F3B
cg00014104,MAPK1
cg00016156,NPM1
cg00016934,BCOR
cg00021166,PPFIBP1
cg00021256,FEV
cg00021527,TAF15
cg00022858,PDGFRA
cg00024967,MECOM
cg00027650,TCF12
cg00028338,WHSC1
cg00029161,HIP1
cg00029826,CCNB1IP1
cg00030466,PRDM16
cg00031759,BRCA2
cg00035197,CBFA2T3
cg00035347,NT5C2
cg00035673,DAXX
cg00036299,GRIN2A
cg00037763,SETBP1
cg00039441,HOXD13
cg00039463,CREBBP
cg00042081,RSPO3
cg00042837,LASP1
cg00045118,RUNX1T1
cg00049709,PRDM16
cg00050618,IL21R
cg00050692,DNMT3A
cg00052246,FOXP1
cg00052422,CTNNB1
cg00052665,GAS7
cg00056489,SH2B3
cg00059246,HOXC13
cg00059309,RNF213
cg00059930,RB1
cg00060287,COL1A1
cg00061989,CDK12
cg00063748,PRDM16
cg00065215,PAX7
cg00067518,CAMTA1
cg00067720,PIK3R1
cg00068377,PRDM16
cg00071984,FHIT
cg00073794,ALK
cg00075615,ZFHX3
cg00077738,FGFR3
cg00079216,CHD4
cg00079638,B2M
cg00082219,FEV
cg00082426,XPO1
cg00082981,HLA-A
cg00085403,PDE4DIP
cg00087546,PRDM16
cg00089430,SDHA
cg00090767,MAX
cg00091781,CASC5
cg00092551,SND1
cg00094303,CDH11
cg00096979,TSC2
cg00097800,EPAS1
cg00098814,MAP2K1
cg00102615,NOTCH1
cg00103908,PRDM16
cg00106073,LMNA
cg00106196,PRDM16
cg00108108,CBFA2T3
cg00109062,TOP1
cg00109293,PRDM16
cg00116766,GRIN2A
cg00117005,DAXX
cg00118158,AFF3
cg00119073,LPP
cg00119896,CARD11
cg00120172,ATRX
cg00121135,CBFA2T3
cg00122765,NF1
cg00123666,LMO1
cg00126698,BTK
cg00127047,ARHGAP26
cg00127408,NOTCH1
cg00128195,TET1
cg00130039,CDX2
cg00130817,MITF
cg00131870,CYLD
cg00136852,LPP
cg00137696,SND1
cg00144022,BCL7A
cg00145961,NTRK3
cg00146612,MYH11
cg00147819,MED12
cg00147850,PDE4DIP
cg00150874,BCOR
cg00152878,PRDM16
cg00153395,JAK1
cg00155429,TPM3
cg00158934,PTK6
cg00159523,TCF7L2
cg00160853,SUZ12
cg00162001,EML4
cg00162940,PPM1D
cg00163372,MYC
cg00168082,ABL1
cg00168191,GNA11
cg00168240,PRDM16
cg00169184,NCOR2
cg00169792,SALL4
cg00171203,SFPQ
cg00172189,SMAD2
cg00174466,ASXL1
cg00175066,TRIM27
cg00178122,MLLT11
cg00179070,COL1A1
cg00184461,NOTCH1
cg00185004,MSI2
cg00187059,DAXX
cg00187244,EP300
cg00187327,MN1
cg00189176,SMARCB1
cg00190545,LASP1
cg00190738,APC
cg00193902,TRRAP
cg00201568,FOXP1
cg00202403,ETV4
cg00206414,BCOR
cg00210856,EBF1
cg00211110,ATF1
cg00211855,SDHA
cg00216570,TFEB
cg00220517,DNMT3A
cg00221327,DAXX
cg00222472,PBX1
cg00235645,CASC5
cg00236832,RARA
cg00241663,GATA2
cg00246280,CUX1
cg00247426,PAX7
cg00248174,RET
cg00248856,CCND1
cg00249032,SDC4
cg00249632,WHSC1
cg00250743,FGFR2
cg00251610,EBF1
cg00251678,PRDM16
cg00252422,NRAS
cg00252701,CDC73
cg00253204,NCOR1
cg00254017,MAP3K1
cg00254258,PRDM16
cg00254608,NCOR2
cg00254888,QKI
cg00259404,TRIM27
cg00260634,FEV
cg00260803,TSC2
cg00261039,BCOR
cg00261534,KLF6
cg00262280,CREB3L2
cg00263307,NF1
cg00267746,GNAS
cg00273359,CARD11
cg00277048,DNMT3A
cg00277246,MYH9
cg00278028,MN1
cg00281467,BCR
cg00287829,GRIN2A
cg00291213,RUNX1
cg00292312,CAMTA1
cg00292540,WWTR1
cg00293303,ERC1
cg00297282,IKZF1
cg00299972,TLX1
cg00301018,AXIN1
cg00302587,NCOA4
cg00303293,MAML2
cg00304076,ARNT
cg00304959,LMNA
cg00305188,SLC45A3
cg00308159,MN1
cg00313685,CUX1
cg00315606,HNRNPA2B1
cg00315936,SND1
cg00318543,PAX5
cg00319168,HOXD13
cg00319686,MAP2K1
cg00321867,SPEN
cg00324366,NRG1
cg00325458,REL
cg00326231,CLTCL1
cg00326719,ERBB4
cg00326902,ROS1
cg00328593,ETV1
cg00328965,ELF4
cg00329272,PRDM16
cg00329748,CAMTA1
cg00330888,EPAS1
cg00333843,MAF
cg00335908,CBFA2T3
cg00336149,CACNA1D
cg00337658,LEF1
cg00343240,YWHAE
cg00344445,FLI1
cg00347620,TBX3
cg00347938,CCND1
cg00351210,CRTC3
cg00352031,CREB3L1
cg00353659,CAMTA1
cg00353844,PRDM16
cg00353953,ZNF384
cg00355158,H3F3B
cg00357238,POT1
cg00357273,POU5F1
cg00357671,NCOR2
cg00359911,MYH11
cg00361176,HIP1
cg00362959,ARHGAP26
cg00364615,SMAD3
cg00366934,MYB
cg00371107,ARID1A
cg00373455,PDGFRA
cg00374492,CCND3
cg00375105,RPL10
cg00378423,MLLT6
cg00386925,FOXP1
cg00387107,CUX1
cg00387551,PRDM16
cg00389552,BCOR
cg00390191,HLA-A
cg00391025,TFG
cg00393376,HNRNPA2B1
cg00395063,ARHGEF12
cg00395501,RPL5
cg00395795,DNAJB1
cg00398816,RET
cg00400189,SMAD4
cg00400221,FGFR1
cg00401091,NFATC2
cg00401797,PRDM16
cg00402956,CBFA2T3
